IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"3.5.65.110","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.66.104","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.66.189","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.65.123","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.66.18","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.65.198","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.66.168","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.65.113","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.65.35","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
"3.5.66.173","*.s3-eu-west-1.amazonaws.com","","","","","s3-eu-west-1.amazonaws.com|*.s3-eu-west-1.amazonaws.com|s3.eu-west-1.amazonaws.com|*.s3.eu-west-1.amazonaws.com|s3.dualstack.eu-west-1.amazonaws.com|*.s3.dualstack.eu-west-1.amazonaws.com|*.s3.amazonaws.com|*.s3-control.eu-west-1.amazonaws.com|s3-control.eu-west-1.amazonaws.com|*.s3-control.dualstack.eu-west-1.amazonaws.com|s3-control.dualstack.eu-west-1.amazonaws.com|*.s3-accesspoint.eu-west-1.amazonaws.com|*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com|*.s3-deprecated.eu-west-1.amazonaws.com|s3-deprecated.eu-west-1.amazonaws.com|s3-external-3.amazonaws.com|*.s3-external-3.amazonaws.com","","false"
